tract10,tract20,share
06059076101,06059087504,0.00067477
06059076102,06059076102,1.00000000
06059076103,06059076102,0.01006479
06059076103,06059076103,0.98993521
06059076201,06059076201,0.99272183
06059076201,06059086407,0.00727817
06059076202,06059021903,0.00873515
06059076202,06059021915,0.00603912
06059076202,06059076202,0.98522572
06059076204,06059076204,1.00000000
06059076205,06059076205,1.00000000
06059076206,06059076205,0.00206693
06059076206,06059076206,0.99793307
06059076208,06059076208,1.00000000
06059086301,06059086301,1.00000000
06059086303,06059076204,0.00226360
06059086303,06059086303,0.99773640
06059086304,06059086304,0.99937832
06059086304,06059086406,0.00062168
06059086305,06059086305,1.00000000
06059086306,06059076204,0.01096890
06059086306,06059086306,0.98903110
06059086402,06059086402,1.00000000
06059086404,06059086404,1.00000000
06059086405,06059086405,1.00000000
06059086406,06059086406,1.00000000
06059086407,06059076201,0.00462579
06059086407,06059086406,0.00044449
06059086407,06059086407,0.99492972
06059086501,06059011602,0.00211377
06059086501,06059086501,0.99788623
06059086502,06059086502,1.00000000
06059086601,06059086601,1.00000000
06059086602,06059086602,1.00000000
06059086701,06059086701,1.00000000
06059086702,06059086702,1.00000000
06059086801,06059086801,1.00000000
06059086802,06059086802,1.00000000
06059086803,06059086803,1.00000000
06059086901,06059086901,1.00000000
06059086902,06059086902,0.99964800
06059086902,06059086903,0.00035200
06059086903,06059086903,1.00000000
06059087001,06059087001,1.00000000
06059087002,06059087002,1.00000000
06059087101,06059087101,1.00000000
06059087102,06059087102,1.00000000
06059087103,06059087103,1.00000000
06059087105,06059087105,1.00000000
06059087106,06059087106,1.00000000
06059087200,06059087200,1.00000000
06059087300,06059087301,0.42912677
06059087300,06059087302,0.57087323
06059087401,06059087401,1.00000000
06059087403,06059087403,1.00000000
06059087404,06059087404,1.00000000
06059087405,06059087405,1.00000000
06059087503,06059087503,1.00000000
06059087504,06059087504,1.00000000
06059087505,06059087505,1.00000000
06059087601,06059087601,1.00000000
06059087602,06059087602,1.00000000
06059087701,06059087701,1.00000000
06059087703,06059087703,1.00000000
06059087704,06059087704,1.00000000
06059087801,06059087801,1.00000000
06059087802,06059087802,0.99189963
06059087802,06059087803,0.00810037
06059087803,06059087803,1.00000000
06059087805,06059087805,1.00000000
06059087806,06059087806,1.00000000
06059087901,06059087901,1.00000000
06059087902,06059087902,1.00000000
06059088001,06059088001,1.00000000
06059088002,06059088002,1.00000000
06059088101,06059088101,0.97593644
06059088101,06059099904,0.02406356
06059088104,06059088104,1.00000000
06059088105,06059088105,1.00000000
