GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059063906,3738,90,690,1637,1321,37,15,11,11,0,464,60,412,386,420,36,23,18,16,17
06059063907,5046,108,1253,2653,1032,16,0,0,16,0,449,78,359,565,279,27,17,17,27,17
06059063908,3812,45,967,1884,916,42,0,25,0,17,390,41,222,438,398,42,17,31,17,27
06059074003,2264,72,461,888,843,0,0,0,0,0,224,59,88,191,198,12,12,12,12,12
06059074004,4325,71,405,1715,2134,49,0,24,10,15,435,112,165,374,434,45,17,38,25,27
06059074005,3466,76,89,818,2483,66,0,0,48,18,302,66,61,235,340,53,17,17,43,28
06059074006,3383,148,816,1464,955,132,10,109,13,0,340,113,211,264,346,74,16,75,20,17
06059074102,3555,73,239,522,2721,116,37,32,47,0,411,98,157,217,461,98,45,52,75,17
06059074103,2522,77,164,238,2043,93,0,11,0,82,263,86,78,108,302,40,17,17,17,39
06059074106,3420,8,379,1714,1319,103,0,4,46,53,288,12,106,345,373,58,17,9,41,43
06059074107,4051,70,835,2125,1021,39,0,0,15,24,353,73,184,460,412,46,17,17,25,37
06059074108,2669,65,170,467,1967,153,17,30,7,99,256,81,70,166,253,86,25,23,11,79
06059074109,1761,43,128,312,1278,48,0,21,22,5,194,67,85,140,288,33,12,27,21,10
06059074110,1846,61,75,286,1424,0,0,0,0,0,208,60,66,78,232,12,12,12,12,12
06059074111,2907,59,294,745,1809,20,0,0,0,20,288,62,135,211,307,32,17,17,17,32
06059074200,5123,98,298,884,3843,232,19,53,72,88,462,96,154,258,595,100,29,44,61,74
06059074300,2139,20,154,306,1659,81,0,6,21,54,197,28,55,103,228,41,12,10,16,40
06059074403,2746,92,716,908,1030,220,25,74,57,64,338,79,203,247,398,106,35,44,53,71
06059074405,2905,124,604,1423,754,145,70,36,39,0,282,80,167,277,315,85,62,38,45,17
06059074406,1679,54,261,581,783,31,6,0,13,12,186,44,92,139,251,28,8,12,19,20
06059074407,2678,36,678,1347,617,7,7,0,0,0,230,31,163,259,260,10,10,17,17,17
06059074408,2826,55,638,1139,994,48,8,40,0,0,277,59,202,294,306,48,13,45,17,17
06059074501,3239,93,789,733,1624,227,67,64,0,96,293,76,218,239,368,118,61,66,17,64
06059074502,2481,78,170,452,1781,112,33,0,34,45,243,57,93,178,293,63,31,17,39,36
06059074601,3646,90,229,1251,2076,330,38,36,77,179,355,97,138,340,437,171,63,41,65,152
06059074602,3978,91,332,1158,2397,192,37,25,32,98,421,67,124,306,471,93,41,26,41,77
06059074701,3762,111,222,679,2750,173,53,21,14,85,600,139,153,284,652,111,76,35,21,72
06059074702,3025,58,286,574,2107,125,30,21,27,47,388,57,127,330,453,67,35,29,30,42
06059074801,2927,124,268,364,2171,160,30,0,23,107,337,87,164,135,417,83,34,17,28,75
06059074802,3280,16,415,895,1954,273,16,62,96,99,314,25,221,308,466,128,25,63,69,95
06059074803,4720,88,440,938,3254,344,0,0,180,164,472,71,187,352,534,145,17,17,133,95
06059074805,2081,101,625,616,739,233,54,152,27,0,207,52,174,145,208,86,43,77,23,17
06059074806,2224,9,439,478,1298,211,0,79,44,88,231,18,161,146,269,73,17,53,29,45
06059074901,4341,124,831,729,2657,371,16,177,70,108,481,97,245,193,579,131,24,108,59,75
06059074902,2834,25,599,777,1433,114,0,60,14,40,382,32,194,202,416,76,17,49,16,55
06059075002,3658,178,967,1323,1190,215,0,116,64,35,612,194,371,469,639,137,17,132,70,56
06059075003,3036,279,863,1298,596,376,145,54,153,24,299,151,165,351,300,121,110,45,78,37
06059075004,2261,189,708,755,609,249,114,61,50,24,293,91,194,266,289,109,84,53,40,38
06059075100,3910,183,863,1332,1532,140,15,74,33,18,305,133,260,313,411,80,21,62,45,29
06059075201,2622,20,48,786,1768,182,10,34,131,7,318,32,81,237,380,113,16,57,95,11
06059075202,2834,127,307,1068,1332,185,9,0,90,86,328,89,156,357,366,104,14,17,85,49
06059075301,2790,25,286,1167,1312,69,17,0,8,44,284,25,111,264,279,50,20,17,13,43
06059075302,2335,11,237,895,1192,135,0,74,30,31,261,16,121,258,256,99,17,78,39,47
06059075303,1778,0,242,785,751,7,0,0,7,0,211,12,73,220,238,11,12,12,11,12
06059075401,2191,13,109,777,1292,42,0,0,33,9,217,21,67,238,327,31,12,12,28,13
06059075403,4431,0,709,1482,2240,132,0,34,21,77,548,17,222,377,650,107,17,37,35,93
06059075404,4072,83,505,1360,2124,54,0,0,32,22,443,84,232,357,529,50,17,17,41,33
06059075405,1629,35,311,714,569,8,0,8,0,0,149,32,145,144,143,11,12,11,12,12
06059075504,2108,29,285,850,944,0,0,0,0,0,208,29,81,196,220,12,12,12,12,12
06059075505,1887,22,267,801,797,30,0,12,10,8,202,34,94,191,196,27,12,18,16,14
06059075506,1697,12,175,756,754,20,0,0,13,7,254,22,73,155,275,23,12,12,19,13
06059075507,2852,98,627,1153,974,65,19,28,12,6,293,86,156,246,323,57,31,45,21,10
06059075512,1952,87,413,684,768,89,0,81,8,0,295,57,186,175,362,66,12,65,14,12
06059075513,2805,19,483,1189,1114,30,0,3,27,0,263,22,158,310,263,45,17,7,44,17
06059075514,2223,25,432,991,775,94,0,13,58,23,221,35,107,235,245,73,12,17,59,35
06059075515,10663,156,3259,4778,2470,226,0,133,93,0,799,121,813,894,804,213,23,181,112,23
06059075603,2187,0,155,1019,1013,0,0,0,0,0,262,12,80,287,189,12,12,12,12,12
