GEOID20,C000,CNS15,CNS16,CNS17,CNS18
060590016031022,103,0,87,4,0
060590016031023,11,0,10,1,0
060590016031024,14,0,11,1,0
060590016031025,19,0,0,0,0
060590016031026,9,0,0,0,0
060590016031027,26,0,0,0,0
060590016032001,3,0,0,0,0
060590016032007,358,56,256,30,0
060590016032010,1,0,0,0,0
060590016032011,7,0,7,0,0
060590016032012,35,0,0,0,0
060590016032013,18,0,0,0,0
060590016041000,1414,0,1411,0,0
060590016041001,378,0,0,8,11
060590016041002,8,0,2,0,0
060590016041003,2,0,0,0,0
060590016041004,1,0,1,0,0
060590016042001,18,0,2,0,0
060590016042004,14,0,0,0,0
060590016042006,14,0,0,0,7
060590016042007,1,0,1,0,0
060590016042008,64,4,25,0,14
060590016042009,9,1,2,0,1
060590016042010,50,0,0,0,36
060590016042011,5,0,2,0,0
060590016043000,208,71,106,7,0
060590016043002,4,0,4,0,0
060590016043003,1,0,0,0,0
060590016043005,6,0,0,0,0
060590016043009,2,0,0,0,0
060590016043010,2,0,0,0,0
060590016044000,1,0,0,0,0
060590016044001,1,0,0,0,0
060590016044007,11,0,0,0,0
060590016044008,84,0,44,0,0
060590016044009,5,0,0,0,0
060590016044010,108,0,92,0,3
060590017041000,157,33,15,0,59
060590017041001,96,74,17,2,0
060590017041002,25,0,24,0,0
060590017041003,160,144,0,0,0
060590017042001,19,10,7,0,0
060590017042002,74,74,0,0,0
060590017042003,2,0,0,0,0
060590017042004,2,0,0,0,0
060590017042005,6,0,3,0,0
060590017042007,4,0,4,0,0
060590017042008,2,0,0,0,0
060590017042009,3,0,0,0,0
060590017042010,7,0,1,0,0
060590017042011,6,0,4,0,0
060590017042012,7,0,4,0,0
060590017042013,2,0,0,0,0
060590017042014,3,0,0,0,0
060590017042015,3,0,0,0,0
060590017042017,1,0,1,0,0
060590017042018,4,0,0,0,0
060590017042019,2,0,2,0,0
060590017043000,2,0,0,0,0
060590017043002,1,0,1,0,0
060590017043005,4,0,4,0,0
060590017043006,2,0,0,0,2
060590017043007,6,0,6,0,0
060590017043008,4,0,0,0,0
060590017043009,72,0,3,0,67
060590017043010,12,0,2,0,0
060590017043011,2,0,0,0,0
060590017043012,4,0,3,0,0
060590017043013,4,0,2,0,0
060590017043016,1,0,0,0,0
060590017043017,1,0,1,0,0
060590017043019,3,3,0,0,0
060590017043020,13,0,0,0,0
060590017043021,1,0,1,0,0
060590017043023,2,0,0,0,0
060590017043024,9,0,0,0,0
060590017043026,4,0,0,0,3
060590017043027,3,0,3,0,0
060590017043028,1,0,0,0,0
060590017043029,50,0,4,0,4
060590017043030,2,0,2,0,0
060590017043031,43,38,0,0,0
060590017043033,60,0,6,0,0
060590017043036,6,0,2,0,0
060590017043037,2,0,2,0,0
060590017043038,11,0,2,0,7
060590017043040,198,196,0,0,0
060590017044000,55,0,3,0,41
060590017044001,302,8,6,22,58
060590017044003,3,0,3,0,0
060590017044004,3,0,0,0,0
060590017044005,38,0,3,0,17
060590017044006,378,7,5,11,101
060590017044007,813,26,9,49,156
060590017044008,27,0,0,0,3
060590017044009,1,0,0,0,0
060590017044011,5,0,0,0,0
060590017044013,7,0,0,0,0
060590017051000,167,0,0,0,3
060590017051004,1,0,1,0,0
060590017051008,4,0,2,0,0
060590017051009,15,0,10,0,0
060590017051011,9,0,0,0,0
060590017051012,2,0,0,0,0
060590017051013,1,0,1,0,0
060590017051015,10,0,2,0,0
060590017052000,5,1,2,0,0
060590017052001,1,0,0,0,0
060590017052002,3,0,0,0,0
060590017052005,12,0,0,0,0
060590017053000,35,0,0,0,35
060590017053001,2,0,1,0,1
060590017053002,67,0,0,0,0
060590017053003,8,0,3,0,0
060590017053004,12,0,3,0,0
060590017053005,22,0,1,0,10
060590017053006,1,0,0,0,0
060590017053007,2,0,2,0,0
060590017053008,6,0,0,0,0
060590017061000,49,0,11,0,26
060590017061001,79,0,34,0,0
060590017061003,220,0,149,0,0
060590017061004,119,64,55,0,0
060590017061005,19,0,0,0,0
060590017061008,10,0,0,0,10
060590017061009,1,0,0,0,0
060590017061010,5,0,2,0,0
060590017061011,108,0,104,0,0
060590017061012,2,0,2,0,0
060590017061013,17,0,4,0,0
060590017062000,7,0,1,0,0
060590017062001,2,0,0,0,0
060590017062002,9,0,0,0,0
060590017062003,10,0,3,0,0
060590017063000,121,0,48,0,0
060590017063001,91,0,90,0,0
060590017063002,33,0,29,0,0
060590017063003,172,0,151,0,0
060590017063004,214,17,106,0,30
060590017063006,5,0,2,0,0
060590017063007,2,0,2,0,0
060590017063008,8,0,0,0,0
060590017063010,2,0,0,0,0
060590017063011,1,0,0,1,0
060590017063012,9,0,8,0,0
060590017064000,20,0,19,0,0
060590017064001,40,0,1,0,31
060590017064004,4,0,1,0,0
060590017064007,1,0,1,0,0
060590017064009,8,0,1,0,0
060590017081000,413,68,7,0,69
060590017081006,1,0,0,0,0
060590017081007,1,0,1,0,0
060590017082001,1,0,1,0,0
060590017082002,1,0,1,0,0
060590017082004,2,0,0,0,0
060590017082005,5,0,2,0,0
060590017082006,8,0,0,0,0
060590017082007,2,0,0,0,0
060590017082008,5,0,0,0,0
060590017083001,28,0,9,0,4
060590017083002,3,0,0,0,0
060590017083003,3,0,0,0,0
060590017083005,5,2,3,0,0
060590017083006,11,0,8,0,0
060590017083007,42,0,30,0,5
060590017083008,12,0,0,0,0
060590017091000,1006,2,47,41,221
060590017091001,5,0,1,0,0
060590017091002,72,1,2,4,21
060590017091003,9,0,2,0,7
060590017091004,1,0,0,0,0
060590017091005,18,0,3,0,13
060590017091006,14,0,0,0,0
060590017091007,2,0,0,0,0
060590017091008,1160,0,4,0,201
060590017091009,181,5,12,7,34
060590017091010,29,0,0,0,0
060590017091012,1,0,1,0,0
060590017091018,1,0,0,0,0
060590017101000,32,0,32,0,0
060590017101001,12,0,3,7,0
060590017101004,57,0,8,0,14
060590017101005,5,0,4,0,0
060590017101007,9,0,0,0,0
060590017101009,2,0,0,0,0
060590017102000,21,1,3,0,13
060590017102001,3,0,3,0,0
060590017102002,15,0,5,0,10
060590017102003,6,0,1,0,0
060590017102004,3,3,0,0,0
060590017102005,3,0,2,0,0
060590017103000,12,0,0,0,0
060590017103002,28,0,1,0,9
060590017103003,2,0,2,0,0
060590017103004,5,0,1,0,0
060590017103006,1,0,0,0,0
060590018011002,92,0,1,0,0
060590018011003,173,15,0,4,0
060590018011004,172,0,1,0,27
060590018011005,11,0,2,0,0
060590018011006,3,0,3,0,0
060590018011007,18,1,3,0,0
