GEOID,B25044_E001,B25044_E003,B25044_E010,B25044_M001,B25044_M003,B25044_M010
06059086304,1675,8,112,52,13,66
06059086305,1092,18,0,42,21,12
06059086306,1235,25,70,69,23,60
06059086402,1389,62,54,34,43,44
06059086404,1464,38,111,49,48,82
06059086405,1641,7,84,58,11,58
06059086406,1333,17,61,74,21,37
06059086407,1971,33,23,101,43,23
06059086501,1141,5,55,63,10,36
06059086502,1377,0,95,41,17,51
06059086601,2395,0,297,88,19,132
06059086602,1686,24,107,61,22,67
06059086701,2277,82,56,128,58,39
06059086702,1939,8,38,56,12,31
06059086801,981,16,7,29,21,12
06059086802,1506,0,100,48,17,61
06059086803,2708,16,214,64,27,103
06059086901,2465,27,298,123,32,124
06059086902,1739,30,116,56,36,72
06059086903,1986,0,156,65,17,77
06059087001,1478,32,142,107,32,84
06059087002,2231,35,186,110,33,131
06059087101,1724,0,75,107,12,38
06059087102,1761,0,95,66,17,56
06059087103,2173,15,3,126,24,10
06059087105,1386,17,168,92,20,57
06059087106,1513,27,204,67,26,87
06059087200,2617,28,217,51,32,108
06059087300,3030,0,278,142,19,137
06059087401,1417,0,11,77,17,18
06059087403,712,3,32,61,6,24
06059087404,894,7,73,27,9,43
06059087405,1329,19,108,43,21,66
06059087503,1653,0,68,93,17,50
06059087504,1648,15,94,73,17,49
06059087505,1407,9,118,54,15,86
06059087601,1400,9,37,69,14,32
06059087602,2136,35,94,50,42,93
06059087701,1659,35,134,82,27,75
06059087703,1531,53,60,59,53,45
06059087704,1239,9,8,82,14,15
06059087801,1568,21,28,77,17,26
06059087802,2132,0,0,134,17,17
06059087803,1298,0,73,85,17,46
06059087805,1733,0,82,111,17,60
06059087806,1575,9,170,58,15,84
06059087901,1168,7,78,74,12,39
06059087902,1241,21,71,66,29,49
06059088001,1185,17,10,74,19,15
06059088002,1106,38,31,50,28,30
06059088101,660,9,16,41,11,14
06059088104,1603,25,111,73,29,45
06059088105,1100,10,0,39,17,12
06059088106,1696,44,64,62,33,60
06059088107,1710,8,79,48,12,52
06059088201,1126,33,87,27,31,65
06059088202,865,17,5,49,26,8
06059088203,1514,0,147,41,17,64
06059088301,1730,0,70,66,17,48
06059088302,1776,11,8,56,16,14
06059088401,1341,26,0,33,24,17
06059088402,1219,15,28,78,17,24
06059088403,1824,9,52,72,15,46
06059088501,1859,13,79,51,17,56
06059088502,1429,9,145,59,15,53
06059088601,2211,39,149,70,33,90
06059088602,1325,28,38,53,26,30
06059088701,1932,7,145,58,11,65
06059088702,1573,39,74,54,27,53
06059088801,2514,67,64,102,53,50
06059088802,1457,16,72,54,19,56
06059088901,1704,0,104,59,17,58
06059088902,1198,22,72,47,21,50
06059088903,2047,20,60,41,23,52
06059088904,1467,13,33,47,20,53
06059088905,1369,0,90,54,17,72
06059089001,1676,47,15,44,33,18
06059089003,895,11,14,26,12,13
06059089004,1779,36,116,76,31,61
06059089102,1676,44,8,36,45,13
06059089104,1361,10,170,48,16,67
06059089105,1180,14,57,37,17,48
06059089106,979,5,20,37,7,14
