GEOID20,INTPTLAT20,INTPTLON20,ALAND20,pop2020
060590013014000,+33.9245108,-117.9630498,1731,0
060590013014001,+33.9245110,-117.9656718,7572,0
060590013014002,+33.9228190,-117.9678290,5995,0
060590013014003,+33.9231473,-117.9658639,105711,723
060590013014004,+33.9234043,-117.9630277,22015,87
060590013014005,+33.9219929,-117.9630189,8337,29
060590013014006,+33.9219974,-117.9647332,18921,98
060590013014007,+33.9209171,-117.9640208,13159,61
060590013014008,+33.9212059,-117.9630888,8046,28
060590013014009,+33.9207318,-117.9668361,25403,109
060590013014010,+33.9204968,-117.9678121,1709,0
060590013015000,+33.9245192,-117.9609076,4500,0
060590013015001,+33.9228492,-117.9612399,97312,859
060590013015002,+33.9201410,-117.9656470,56674,318
060590013015003,+33.9184557,-117.9654138,77280,0
060590013015004,+33.9195827,-117.9610382,174814,706
060590013015005,+33.9174376,-117.9657074,8877,12
060590013015006,+33.9174177,-117.9614349,8307,0
060590013015007,+33.9189017,-117.9678011,3633,5
060590013031000,+33.9202655,-117.9514021,22946,65
060590013031001,+33.9205990,-117.9535252,18864,82
060590013031002,+33.9207090,-117.9571545,65621,606
060590013031003,+33.9182689,-117.9551731,98708,615
060590013031004,+33.9191660,-117.9561639,31704,217
060590013031005,+33.9194600,-117.9529754,39272,146
060590013031006,+33.9192029,-117.9578658,29871,171
060590013031007,+33.9174057,-117.9555810,12138,24
060590013032000,+33.9245306,-117.9547703,9613,26
060590013032001,+33.9231036,-117.9552539,231546,1468
060590013032002,+33.9217199,-117.9508757,13387,105
060590013032003,+33.9233939,-117.9511779,3913,25
060590013032004,+33.9213133,-117.9528128,21983,148
060590013032005,+33.9220278,-117.9528152,21976,82
060590013033000,+33.9227263,-117.9439226,37019,283
060590013033001,+33.9223781,-117.9476761,77135,161
060590013033002,+33.9245338,-117.9496858,1750,0
060590013033003,+33.9239544,-117.9496271,16301,99
060590013033004,+33.9222073,-117.9497090,39353,158
060590013033005,+33.9206004,-117.9485595,28382,135
060590013033006,+33.9199064,-117.9463708,11819,81
060590013033007,+33.9207220,-117.9439788,59197,108
060590013033008,+33.9218553,-117.9427956,19690,142
060590013033009,+33.9218543,-117.9449740,21172,132
060590013033010,+33.9190200,-117.9448289,55618,0
060590013033011,+33.9181897,-117.9489527,78665,155
060590013033012,+33.9195518,-117.9487513,60118,269
060590013033013,+33.9177155,-117.9449052,9395,0
060590013033014,+33.9174296,-117.9449318,4489,0
060590013033015,+33.9174205,-117.9489086,10496,0
060590013033016,+33.9238926,-117.9470377,27506,123
060590013041000,+33.9261414,-117.9396045,126489,23
060590013041001,+33.9272138,-117.9402771,23191,0
060590013041002,+33.9269584,-117.9433578,89316,167
060590013041003,+33.9258426,-117.9454759,32712,158
060590013041004,+33.9256352,-117.9439441,39998,160
060590013041005,+33.9242282,-117.9435023,26277,179
060590013041006,+33.9238656,-117.9456805,12626,49
060590013041007,+33.9235021,-117.9435015,25989,163
060590013041008,+33.9206673,-117.9398780,378160,26
060590013041009,+33.9174316,-117.9418598,6879,0
060590013041010,+33.9174226,-117.9383553,5649,0
060590013042000,+33.9281094,-117.9482869,9312,0
060590013042001,+33.9279258,-117.9526413,25229,168
060590013042002,+33.9273299,-117.9570550,39692,104
060590013042003,+33.9272482,-117.9560312,7256,39
060590013042004,+33.9269654,-117.9584393,7852,33
060590013042005,+33.9277285,-117.9560334,7171,30
060590013042006,+33.9270009,-117.9576118,10641,42
060590013042007,+33.9275657,-117.9584812,4736,31
060590013042008,+33.9268085,-117.9559214,5941,42
060590013042009,+33.9263617,-117.9561496,8809,27
060590013042010,+33.9251115,-117.9558358,24650,26
060590013042011,+33.9267243,-117.9527352,44229,224
060590013042012,+33.9275272,-117.9483864,41475,306
060590013042013,+33.9257375,-117.9587485,13150,38
060590013042014,+33.9251869,-117.9581710,4554,34
060590013042015,+33.9252120,-117.9587091,4926,42
060590013042016,+33.9258428,-117.9573376,10989,0
060590013042017,+33.9256170,-117.9563811,11474,49
060590013042018,+33.9272300,-117.9537302,18434,114
060590013042019,+33.9263845,-117.9482169,62504,681
060590013042020,+33.9255790,-117.9524452,54572,77
060590013042021,+33.9252490,-117.9536846,6540,56
060590013042022,+33.9251373,-117.9510281,12864,25
060590013042023,+33.9251330,-117.9482818,48430,589
060590014011000,+33.9452554,-117.9332439,38544,65
060590014011001,+33.9440159,-117.9366982,99138,145
060590014011002,+33.9420700,-117.9380538,290116,827
060590014011003,+33.9416566,-117.9370461,15235,48
060590014011004,+33.9407188,-117.9352617,156086,468
060590014011005,+33.9434981,-117.9339418,27729,92
060590014012000,+33.9448177,-117.9428493,41741,120
060590014012001,+33.9450491,-117.9447021,49581,100
060590014012002,+33.9434997,-117.9446319,15416,50
060590014012003,+33.9426825,-117.9454938,45619,132
060590014012004,+33.9419053,-117.9451065,10378,32
060590014012005,+33.9437449,-117.9422917,11830,35
060590014012006,+33.9422083,-117.9426685,31165,75
060590014012007,+33.9402042,-117.9429113,48584,164
060590014012008,+33.9401486,-117.9449782,44058,134
060590014012009,+33.9383820,-117.9451514,30281,94
060590014013000,+33.9429320,-117.9475189,197510,609
060590014013001,+33.9434202,-117.9500014,16278,33
060590014013002,+33.9455894,-117.9492090,25856,59
060590014013003,+33.9409030,-117.9494096,82398,236
060590014013004,+33.9384364,-117.9477956,15135,121
060590014013005,+33.9386618,-117.9467072,10138,46
060590014013006,+33.9374367,-117.9471341,25399,63
060590014013007,+33.9379796,-117.9488384,23418,70
060590014013008,+33.9382058,-117.9499284,21774,35
060590014013009,+33.9370714,-117.9499209,5460,31
060590014014000,+33.9378593,-117.9359520,163350,1242
060590014014001,+33.9369461,-117.9365640,12736,51
060590014014002,+33.9383653,-117.9409806,25344,236
060590014014003,+33.9362253,-117.9365583,12685,80
060590014021000,+33.9456143,-117.9273812,31452,49
060590014021001,+33.9451985,-117.9262857,22720,65
060590014021002,+33.9444091,-117.9269328,34346,86
060590014021003,+33.9443694,-117.9305215,24862,102
060590014021004,+33.9452852,-117.9307718,46859,77
060590014021005,+33.9417145,-117.9317745,99892,341
060590014021006,+33.9403875,-117.9307215,39091,111
060590014021007,+33.9407391,-117.9295843,29463,67
060590014021008,+33.9435803,-117.9307172,27445,105
060590014021009,+33.9435925,-117.9268271,37061,119
060590014021010,+33.9413152,-117.9264499,161778,371
060590014021011,+33.9418691,-117.9276918,12400,46
060590014021012,+33.9398518,-117.9280210,26191,46
060590014022000,+33.9378868,-117.9318683,62221,311
060590014022001,+33.9369605,-117.9313771,18990,59
060590014022002,+33.9369476,-117.9304772,18493,69
060590014022003,+33.9370794,-117.9295942,20913,84
060590014022004,+33.9348346,-117.9295836,20089,106
060590014022005,+33.9348340,-117.9304736,20081,92
060590014022006,+33.9348338,-117.9313636,20067,247
060590014022007,+33.9348324,-117.9324277,27927,238
060590014022008,+33.9327351,-117.9315779,52193,277
060590014022009,+33.9333827,-117.9297472,8602,107
060590014022010,+33.9326797,-117.9301115,14092,170
060590014023000,+33.9374982,-117.9247791,29414,140
060590014023001,+33.9374966,-117.9256555,29056,107
060590014023002,+33.9378027,-117.9279452,88882,176
060590014023003,+33.9365635,-117.9267768,19537,94
060590014023004,+33.9353860,-117.9283780,35728,142
060590014023005,+33.9348051,-117.9252151,38264,177
060590014023006,+33.9348005,-117.9271678,15428,89
060590014023007,+33.9340941,-117.9271671,15809,64
060590014023008,+33.9333843,-117.9262927,28281,115
060590014023009,+33.9325467,-117.9269360,63522,812
060590014031000,+33.9467558,-117.9180603,40182,104
060590014031001,+33.9462926,-117.9165299,7389,40
060590014031002,+33.9452838,-117.9180828,42604,145
060590014031003,+33.9458114,-117.9166200,10375,22
060590014031004,+33.9443422,-117.9165204,45046,92
060590014031005,+33.9426204,-117.9173137,28231,59
060590014031006,+33.9443254,-117.9187492,24307,67
060590014031007,+33.9433795,-117.9217825,257983,274
060590014031008,+33.9412343,-117.9236003,53885,166
060590014031009,+33.9398332,-117.9223996,28473,88
060590014031010,+33.9405581,-117.9195340,26320,81
060590014031011,+33.9412694,-117.9188798,28867,51
060590014031012,+33.9414494,-117.9174840,19792,52
060590014031013,+33.9409611,-117.9167649,36966,84
060590014031014,+33.9396520,-117.9169829,30881,65
060590014032000,+33.9387343,-117.9165702,15260,53
